,선수,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,연도,포지션,생일
0,테임즈,10.71,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,.381,.498,.790,1.288,.530,222.3,10.71,2015,1B,1986-11-10
1,이대호,8.82,127,552,478,99,174,13,0,44,319,133,0,2,61,10,6,77,15,0,3,.364,.444,.667,1.111,.482,192.4,8.82,2010,3B,1982-06-21
2,강정호,8.23,124,519,436,77,137,32,0,25,244,82,21,5,71,6,8,78,16,1,5,.314,.413,.560,.973,.438,179.8,8.23,2012,SS,1987-04-05
3,강정호,8.05,117,501,418,103,149,36,2,40,309,117,3,3,68,13,2,106,8,0,2,.356,.459,.739,1.198,.500,185.6,8.05,2014,SS,1987-04-05
4,박석민,7.89,127,549,443,79,138,19,3,23,232,91,2,3,72,27,5,83,8,2,5,.312,.433,.524,.957,.438,179.9,7.89,2012,3B,1985-06-22
5,박병호,7.76,140,622,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,.343,.436,.714,1.150,.481,181.9,7.76,2015,1B,1986-07-10
6,최형우,7.75,138,618,519,99,195,46,2,31,338,144,2,2,83,9,8,83,12,0,7,.376,.464,.651,1.116,.480,177.8,7.75,2016,LF,1983-12-16
7,최형우,7.64,133,571,480,80,163,37,3,30,296,118,4,3,76,5,15,88,8,0,10,.340,.427,.617,1.044,.457,182.2,7.64,2011,LF,1983-12-16
8,서건창,7.63,128,616,543,135,201,41,17,7,297,67,48,17,59,8,0,47,1,4,2,.370,.438,.547,.985,.437,150.9,7.63,2014,2B,1989-08-22
9,김재환,7.46,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,.340,.429,.603,1.032,.440,170.9,7.46,2017,LF,1988-09-22
10,최정,7.29,130,553,474,85,142,33,1,26,255,84,20,8,49,21,7,98,8,3,6,.300,.386,.538,.923,.416,164.7,7.29,2012,3B,1987-02-28
11,김하성,7.17,139,625,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,.307,.389,.491,.880,.397,145.7,7.17,2019,SS,1995-10-17
12,최정,7.11,120,525,434,75,137,18,0,28,239,83,24,8,64,24,9,109,10,1,2,.316,.429,.551,.980,.441,167.3,7.11,2013,3B,1987-02-28
13,박병호,7.02,128,556,450,91,143,17,0,37,271,117,10,2,92,8,4,96,7,0,6,.318,.437,.602,1.039,.462,181.1,7.02,2013,1B,1986-07-10
14,박건우,7.01,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,.366,.424,.582,1.006,.433,163.8,7.01,2017,CF,1990-09-08
15,김태균,6.97,126,513,416,61,151,24,0,16,223,80,3,1,81,11,8,69,11,0,5,.363,.474,.536,1.010,.463,195.6,6.97,2012,1B,1982-05-29
16,김재환,6.94,139,602,527,104,176,36,1,44,346,133,2,0,59,9,4,134,6,0,7,.334,.405,.657,1.062,.438,168.8,6.94,2018,LF,1988-09-22
17,이대호,6.89,133,570,493,76,176,26,1,27,285,113,2,0,63,8,8,60,22,0,6,.357,.433,.578,1.011,.455,180.0,6.89,2011,1B,1982-06-21
18,김현수,6.70,141,630,512,103,167,26,0,28,277,121,11,5,101,8,12,63,13,0,9,.326,.438,.541,.979,.427,163.2,6.70,2015,LF,1988-01-12
19,양의지,6.69,118,459,390,61,138,26,0,20,224,68,4,3,48,15,4,43,13,0,6,.354,.438,.574,1.012,.452,179.8,6.69,2019,C,1987-06-05
20,최형우,6.66,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,.342,.450,.576,1.026,.442,163.5,6.66,2017,LF,1983-12-16
21,박병호,6.62,113,488,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,.345,.457,.718,1.175,.478,190.9,6.62,2018,1B,1986-07-10
22,최정,6.56,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,.316,.427,.684,1.111,.456,167.6,6.56,2017,3B,1987-02-28
23,박병호,6.51,133,560,469,76,136,34,0,31,263,105,20,9,73,11,3,111,6,0,7,.290,.393,.561,.954,.430,174.5,6.51,2012,1B,1986-07-10
24,나바로,6.45,140,643,534,126,153,19,1,48,318,137,22,6,93,6,8,72,10,1,9,.287,.393,.596,.988,.416,143.1,6.45,2015,2B,1987-10-31
25,양의지,6.42,133,503,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,.358,.427,.585,1.013,.431,160.5,6.42,2018,C,1987-06-05
26,최정,6.32,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,.292,.399,.519,.918,.411,148.9,6.32,2019,3B,1987-02-28
27,테임즈,6.32,125,514,443,95,152,30,6,37,305,121,11,2,58,7,5,99,6,0,6,.343,.422,.688,1.111,.464,168.3,6.32,2014,1B,1986-11-10
28,손아섭,6.26,122,570,483,105,175,25,3,18,260,80,10,3,80,5,7,78,7,0,2,.362,.456,.538,.994,.443,154.6,6.26,2014,RF,1988-03-18
29,박병호,6.23,128,571,459,126,139,16,2,52,315,124,8,3,96,12,3,142,13,0,4,.303,.433,.686,1.119,.466,162.9,6.23,2014,1B,1986-07-10
30,나바로,6.23,125,602,500,118,154,27,1,31,276,98,25,9,96,1,1,71,7,0,5,.308,.417,.552,.969,.424,139.2,6.23,2014,2B,1987-10-31
31,샌즈,6.16,139,613,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,.305,.396,.543,.939,.421,163.0,6.16,2019,RF,1987-09-28
32,나성범,6.06,123,536,477,88,157,28,5,30,285,101,14,5,42,15,2,128,4,1,1,.329,.400,.597,.998,.429,146.2,6.06,2014,CF,1989-10-03
33,손아섭,6.04,128,568,498,83,172,23,4,11,236,69,36,7,64,3,6,88,9,0,3,.345,.421,.474,.895,.415,148.9,6.04,2013,RF,1988-03-18
34,테임즈,5.97,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,.321,.427,.679,1.106,.463,170.5,5.97,2016,1B,1986-11-10
35,조인성,5.96,133,511,457,69,145,24,1,28,255,107,2,0,41,3,8,83,19,5,5,.317,.374,.558,.932,.401,140.0,5.96,2010,C,1975-05-25
36,유한준,5.87,139,598,520,103,188,42,1,23,301,116,3,3,67,2,2,71,13,1,8,.362,.431,.579,1.009,.440,157.6,5.87,2015,RF,1981-07-01
37,박용택,5.86,127,556,499,82,152,34,3,11,225,76,30,8,42,7,1,66,9,1,7,.305,.362,.451,.813,.377,136.9,5.86,2012,CF,1979-04-21
38,박석민,5.85,117,474,396,61,126,24,0,18,204,76,4,2,54,21,1,73,13,0,2,.318,.425,.515,.940,.432,162.0,5.85,2013,3B,1985-06-22
39,최정,5.82,141,606,500,106,144,24,1,40,290,106,1,2,77,23,2,126,6,0,6,.288,.403,.580,.983,.425,140.7,5.82,2016,3B,1987-02-28
40,나성범,5.78,125,561,498,103,173,42,2,24,291,99,17,7,48,12,10,116,8,0,3,.347,.415,.584,1.000,.428,154.3,5.78,2017,RF,1989-10-03
41,최정,5.76,113,488,403,64,125,25,1,20,212,75,15,5,46,20,1,72,8,13,6,.310,.402,.526,.928,.411,152.0,5.76,2011,3B,1987-02-28
42,김재환,5.75,134,568,492,107,160,32,3,37,309,124,8,2,71,0,3,107,9,0,5,.325,.407,.628,1.035,.442,162.7,5.75,2016,LF,1988-09-22
43,손아섭,5.73,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,.335,.420,.514,.934,.410,140.0,5.73,2017,RF,1988-03-18
44,전준우,5.67,144,614,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,.342,.400,.592,.991,.421,146.3,5.67,2018,LF,1986-02-25
45,로하스,5.66,144,645,564,114,172,30,1,43,333,114,18,13,71,7,4,142,10,1,2,.305,.388,.590,.979,.410,138.5,5.66,2018,CF,1990-05-24
46,양의지,5.65,132,513,442,70,144,27,0,20,231,93,5,4,39,24,3,64,7,2,6,.326,.405,.523,.928,.408,149.1,5.65,2015,C,1987-06-05
47,황재균,5.55,127,559,498,97,167,26,5,27,284,113,25,10,49,4,5,66,10,0,8,.335,.394,.570,.964,.417,137.3,5.55,2016,3B,1987-07-28
48,최형우,5.55,113,493,430,92,153,33,0,31,279,100,4,2,50,7,1,62,11,0,6,.356,.426,.649,1.075,.458,160.6,5.55,2014,LF,1983-12-16
49,강정호,5.55,126,532,450,67,131,21,1,22,220,96,15,8,68,6,3,109,18,2,6,.291,.387,.489,.876,.398,138.0,5.55,2013,SS,1987-04-05
50,이용규,5.54,111,503,421,84,140,16,2,3,169,33,30,6,63,9,2,33,5,7,3,.333,.427,.401,.829,.391,137.9,5.54,2011,CF,1985-08-26
51,이범호,5.54,101,405,318,63,96,21,0,17,168,77,2,0,75,7,3,56,8,0,5,.302,.440,.528,.968,.440,171.1,5.54,2011,3B,1981-11-25
52,정성훈,5.50,107,438,365,50,113,27,3,12,182,53,3,3,65,1,2,62,13,2,5,.310,.411,.499,.909,.416,164.8,5.50,2012,3B,1980-06-27
53,김태균,5.50,144,652,529,94,193,39,0,23,301,136,1,0,108,9,10,97,11,0,6,.365,.476,.569,1.045,.463,165.5,5.50,2016,DH,1982-05-29
54,로하스,5.49,142,576,520,68,167,29,3,24,274,104,4,4,48,3,5,120,4,0,5,.321,.379,.527,.905,.405,151.3,5.49,2019,CF,1990-05-24
55,이승엽,5.47,126,556,488,84,150,28,2,21,245,85,6,0,59,4,4,101,10,1,4,.307,.384,.502,.886,.406,157.5,5.47,2012,1B,1976-08-18
56,박병호,5.46,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,.280,.399,.560,.959,.422,165.8,5.46,2019,1B,1986-07-10
57,전준우,5.43,133,601,539,97,162,38,5,11,243,64,23,9,50,7,4,101,14,2,3,.301,.366,.451,.816,.375,126.6,5.43,2011,CF,1986-02-25
58,강민호,5.38,124,506,450,63,130,25,2,19,216,66,4,6,47,8,2,81,18,0,1,.289,.366,.480,.846,.388,135.2,5.38,2011,C,1985-08-18
59,박석민,5.38,135,559,448,90,144,25,0,26,247,116,3,0,83,19,0,97,13,1,8,.321,.441,.551,.992,.437,156.8,5.38,2015,3B,1985-06-22
60,손아섭,5.30,144,672,575,118,186,33,1,16,269,81,42,4,92,3,1,104,4,0,2,.323,.418,.468,.886,.406,131.0,5.30,2016,RF,1988-03-18
61,손아섭,5.30,141,625,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,.329,.404,.546,.950,.409,138.6,5.30,2018,RF,1988-03-18
62,러프,5.28,137,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,.330,.419,.605,1.024,.432,152.9,5.28,2018,1B,1986-07-28
63,김현수,5.24,132,565,473,88,150,29,0,24,251,89,4,8,78,6,6,64,9,0,8,.317,.414,.531,.945,.419,152.0,5.24,2010,LF,1988-01-12
64,강민호,5.23,123,456,380,63,118,18,1,35,243,86,0,0,60,14,2,112,14,0,2,.311,.421,.639,1.061,.451,164.9,5.23,2015,C,1985-08-18
65,로사리오,5.20,119,510,445,100,151,30,1,37,294,111,10,5,50,10,4,61,12,0,5,.339,.414,.661,1.074,.450,165.3,5.20,2017,1B,1989-02-23
66,홍성흔,5.15,111,498,431,88,151,28,1,26,259,116,2,2,54,7,3,49,18,1,5,.350,.427,.601,1.028,.451,171.9,5.15,2010,DH,1977-02-28
67,나성범,5.14,144,622,564,112,184,34,5,28,312,135,23,4,32,15,1,127,9,3,8,.326,.373,.553,.926,.400,136.1,5.14,2015,RF,1989-10-03
68,버나디나,5.12,139,621,557,118,178,26,8,27,301,111,32,7,41,11,2,112,9,3,9,.320,.372,.540,.913,.390,128.4,5.12,2017,CF,1984-06-12
69,페르난데스,5.10,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,.344,.409,.483,.892,.408,154.7,5.10,2019,DH,1988-04-27
70,최정,5.07,123,493,400,84,120,31,1,20,213,80,12,4,49,20,0,72,7,16,8,.300,.396,.533,.929,.400,138.8,5.07,2010,3B,1987-02-28
71,강민호,5.04,117,465,410,66,125,19,1,23,215,72,2,7,42,8,1,65,16,0,5,.305,.376,.524,.901,.400,138.5,5.04,2010,C,1985-08-18
72,강민호,5.00,116,460,381,65,123,26,0,20,209,72,4,0,66,10,4,91,7,0,3,.323,.433,.549,.981,.434,147.7,5.00,2016,C,1985-08-18
73,강민호,5.00,119,454,400,41,109,21,0,19,187,66,0,1,44,8,2,97,9,0,2,.273,.355,.468,.822,.380,139.2,5.00,2012,C,1985-08-18
74,구자욱,4.99,116,465,410,97,143,33,5,11,219,57,17,7,45,6,0,79,3,0,4,.349,.417,.534,.951,.422,148.4,4.99,2015,1B,1993-02-12
75,안치홍,4.98,130,549,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,.342,.392,.563,.954,.407,140.3,4.98,2018,2B,1990-07-02
76,이용규,4.96,124,585,493,94,168,15,7,4,209,42,28,10,68,9,5,45,4,11,4,.341,.427,.424,.851,.386,119.6,4.96,2015,CF,1985-08-26
77,김선빈,4.96,137,529,476,84,176,34,1,5,227,64,4,4,39,5,4,40,10,5,4,.370,.420,.477,.897,.399,134.0,4.96,2017,SS,1989-12-18
78,구자욱,4.96,144,647,564,108,175,39,10,21,297,107,10,4,63,10,1,138,1,0,10,.310,.383,.527,.910,.394,130.6,4.96,2017,RF,1993-02-12
79,박용택,4.95,125,539,476,79,156,22,4,7,207,67,13,8,52,4,1,71,5,0,7,.328,.393,.435,.828,.388,131.6,4.95,2013,CF,1979-04-21
80,최형우,4.94,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,.339,.414,.549,.963,.411,143.4,4.94,2018,LF,1983-12-16
81,김하성,4.94,140,582,511,89,148,35,5,19,250,73,22,4,56,5,2,115,10,4,6,.290,.362,.489,.851,.372,112.9,4.94,2015,SS,1995-10-17
82,김태균,4.94,118,508,422,66,154,30,0,18,238,84,0,2,70,11,1,73,18,0,5,.365,.463,.564,1.027,.456,158.8,4.94,2014,1B,1982-05-29
83,손아섭,4.93,116,492,442,79,144,25,5,15,224,83,13,4,43,2,1,80,6,1,4,.326,.385,.507,.892,.407,147.9,4.93,2011,RF,1988-03-18
84,정근우,4.91,126,552,468,99,148,30,2,12,218,66,21,6,61,8,1,66,14,13,2,.316,.403,.466,.868,.384,119.2,4.91,2015,2B,1982-10-02
85,최형우,4.91,128,573,511,80,156,28,0,29,271,98,2,1,47,7,1,91,5,0,8,.305,.367,.530,.897,.404,142.6,4.91,2013,LF,1983-12-16
86,김하성,4.91,141,601,526,90,159,36,3,23,270,114,16,8,58,8,2,65,8,2,7,.302,.376,.513,.889,.385,125.4,4.91,2017,SS,1995-10-17
87,박석민,4.90,112,457,356,58,108,18,0,15,171,64,3,2,76,15,4,84,14,5,5,.303,.440,.480,.921,.415,148.8,4.90,2010,3B,1985-06-22
88,이정후,4.88,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,.336,.386,.456,.842,.386,135.1,4.88,2019,LF,1998-08-20
89,히메네스,4.85,135,579,523,101,161,36,0,26,275,102,18,9,39,10,2,67,8,1,6,.308,.363,.526,.889,.388,126.8,4.85,2016,3B,1988-01-18
90,마르테,4.83,115,487,425,85,148,32,1,20,242,89,0,0,51,2,7,60,19,0,8,.348,.414,.569,.983,.424,149.0,4.83,2015,3B,1983-10-21
91,양의지,4.81,108,392,332,66,106,17,0,22,189,66,2,0,40,12,1,29,20,1,7,.319,.404,.569,.973,.422,149.6,4.81,2016,C,1987-06-05
92,김현수,4.79,117,511,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10,.362,.415,.589,1.004,.424,155.2,4.79,2018,LF,1988-01-12
93,강정호,4.79,133,522,449,60,135,30,2,12,205,58,2,2,61,7,6,87,14,3,2,.301,.391,.457,.848,.383,127.6,4.79,2010,SS,1987-04-05
94,로맥,4.78,141,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6,.316,.404,.597,1.001,.422,144.1,4.78,2018,1B,1985-09-30
95,박석민,4.78,126,506,427,77,131,20,0,32,247,104,2,0,56,16,2,95,18,2,4,.307,.404,.578,.982,.424,144.1,4.78,2016,3B,1985-06-22
96,강백호,4.74,117,504,437,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,.336,.417,.497,.913,.415,157.4,4.74,2019,RF,1999-07-29
97,채은성,4.73,139,578,529,78,175,36,2,25,290,119,3,1,35,9,1,97,12,0,5,.331,.379,.548,.927,.396,137.5,4.73,2018,RF,1990-02-06
98,박민우,4.72,125,526,468,89,161,23,8,1,203,45,18,7,41,9,1,40,10,2,6,.344,.403,.434,.836,.387,135.8,4.72,2019,2B,1993-02-06
99,박민우,4.71,106,452,388,84,141,25,4,3,183,47,11,1,46,11,0,51,8,3,4,.363,.441,.472,.913,.412,145.5,4.71,2017,2B,1993-02-06
100,아두치,4.71,132,594,526,105,165,34,5,28,293,106,24,10,55,8,8,118,9,1,4,.314,.385,.557,.942,.405,135.2,4.71,2015,CF,1985-05-15
101,박건우,4.68,127,537,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,.319,.397,.465,.863,.394,144.3,4.68,2019,RF,1990-09-08
102,정성훈,4.66,121,477,407,64,127,22,1,9,178,62,13,6,59,7,0,58,12,0,4,.312,.405,.437,.842,.396,137.7,4.66,2013,3B,1980-06-27
103,최주환,4.66,138,590,519,87,173,39,6,26,302,108,1,0,51,10,1,89,5,0,10,.333,.397,.582,.979,.413,148.6,4.66,2018,DH,1988-02-28
104,박석민,4.65,128,537,457,74,127,24,3,15,202,86,3,1,59,13,1,105,13,5,3,.278,.374,.442,.816,.376,127.6,4.65,2011,3B,1985-06-22
105,박경수,4.57,137,537,440,75,125,30,1,22,223,73,6,4,74,13,1,115,8,6,4,.284,.399,.507,.906,.397,131.0,4.57,2015,2B,1984-03-31
106,안치홍,4.55,126,479,434,65,147,31,2,18,236,88,19,6,33,6,1,65,11,2,4,.339,.390,.544,.934,.408,133.4,4.55,2014,2B,1990-07-02
107,버나디나,4.55,131,590,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,.310,.395,.487,.883,.385,125.4,4.55,2018,CF,1984-06-12
108,민병헌,4.54,124,527,470,85,162,31,3,12,235,79,16,8,37,6,0,63,11,8,6,.345,.395,.500,.895,.394,130.3,4.54,2014,RF,1987-03-10
109,박석민,4.52,110,425,356,77,112,21,0,27,214,72,0,1,54,12,3,62,12,0,3,.315,.419,.601,1.020,.438,147.7,4.52,2014,3B,1985-06-22
110,박건우,4.51,132,540,484,95,162,36,4,20,266,83,17,6,38,9,0,86,9,4,5,.335,.390,.550,.940,.411,137.7,4.51,2016,RF,1990-09-08
111,나성범,4.51,144,620,556,110,177,36,3,23,288,91,15,2,44,15,4,131,11,0,5,.318,.381,.518,.899,.387,126.6,4.51,2018,RF,1989-10-03
112,이용규,4.50,125,580,491,86,139,14,2,2,163,37,44,12,66,10,0,38,9,10,3,.283,.377,.332,.709,.340,111.3,4.50,2012,CF,1985-08-26
113,박용택,4.49,124,549,464,71,159,24,2,9,214,73,11,9,75,1,3,65,15,2,7,.343,.430,.461,.891,.405,136.1,4.49,2014,CF,1979-04-21
114,서건창,4.46,140,646,560,111,182,30,7,7,247,63,26,13,69,10,2,58,6,3,4,.325,.406,.441,.847,.389,116.6,4.46,2016,2B,1989-08-22
115,이호준,4.45,127,504,426,55,128,26,0,18,208,78,3,3,72,5,5,90,10,0,1,.300,.407,.488,.895,.414,163.1,4.45,2012,DH,1976-02-08
116,오지환,4.44,138,566,497,76,138,41,4,11,220,56,25,10,59,4,1,121,2,3,3,.278,.357,.443,.800,.357,110.3,4.44,2015,SS,1990-03-12
117,박민우,4.42,141,617,520,111,158,31,6,3,210,47,46,16,73,14,0,108,4,3,7,.304,.399,.404,.803,.371,116.8,4.42,2015,2B,1993-02-06
118,나성범,4.42,144,653,572,116,177,37,2,22,284,113,7,4,67,9,2,136,4,1,4,.309,.388,.497,.885,.395,125.9,4.42,2016,RF,1989-10-03
119,안치홍,4.39,132,545,487,95,154,29,2,21,250,93,7,0,43,4,1,70,19,6,5,.316,.373,.513,.886,.382,123.0,4.39,2017,2B,1990-07-02
120,정근우,4.37,138,650,575,121,178,31,2,18,267,88,22,6,60,9,2,58,14,1,5,.310,.381,.464,.845,.381,112.5,4.37,2016,2B,1982-10-02
121,이병규,4.36,127,519,485,64,164,24,0,16,236,75,2,1,28,2,1,47,10,2,2,.338,.375,.487,.862,.396,141.5,4.36,2011,LF,1974-10-25
122,이범호,4.36,138,560,484,93,150,23,0,33,272,108,1,1,60,9,7,57,15,0,7,.310,.391,.562,.953,.411,132.9,4.36,2016,3B,1981-11-25
123,채태인,4.34,94,342,299,52,114,15,0,11,162,53,4,0,38,5,1,70,9,0,0,.381,.459,.542,1.001,.463,183.0,4.34,2013,1B,1982-10-11
124,조성환,4.33,111,458,414,83,139,31,0,8,194,52,8,2,35,4,1,58,8,2,3,.336,.390,.469,.859,.391,132.2,4.33,2010,2B,1976-12-23
